customerid,creditscore,balance,estimatedsalary
15634602,619,0.0,101348.88
15647311,608,83807.86,112542.58
15619304,502,159660.8,113931.57
15701354,699,0.0,93826.63
15737888,850,125510.82,79084.1
15574012,645,113755.78,149756.71
15592531,822,0.0,10062.8
15656148,376,115046.74,119346.88
15792365,501,142051.07,74940.5
15592389,684,134603.88,71725.73
15767821,528,102016.72,80181.12
15737173,497,0.0,76390.01
15632264,476,0.0,26260.98
15691483,549,0.0,190857.79
15600882,635,0.0,65951.65
15643966,616,143129.41,64327.26
15737452,653,132602.88,5097.67
15788218,549,0.0,14406.41
15661507,587,0.0,158684.81
15568982,726,0.0,54724.03
15577657,732,0.0,170886.17
15597945,636,0.0,138555.46
15699309,510,0.0,118913.53
15725737,669,0.0,8487.75
15625047,846,0.0,187616.16
15738191,577,0.0,124508.29
15736816,756,136815.64,170041.95
15700772,571,0.0,38433.35
15728693,574,141349.43,100187.43
15656300,411,59697.17,53483.21
15589475,591,0.0,140469.38
15706552,533,85311.7,156731.91
15750181,553,110112.54,81898.81
15659428,520,0.0,34410.55
15732963,722,0.0,142033.07
15794171,475,134264.04,27822.99
15788448,490,145260.23,114066.77
15729599,804,76548.6,98453.45
15717426,850,0.0,40812.9
15585768,582,70349.48,178074.04
15619360,472,0.0,70154.22
15738148,465,122522.32,181297.65
15687946,556,117419.35,94153.83
15755196,834,131394.56,194365.76
15684171,660,155931.11,158338.39
15754849,776,109421.13,126517.46
15602280,829,112045.67,119708.21
15771573,637,137843.8,117622.8
15766205,550,103391.38,90878.13
15771873,776,103769.22,194099.12
15616550,698,116363.37,198059.16
15768193,585,146050.97,86424.57
15683553,788,0.0,116978.19
15702298,655,125561.97,164040.94
15569590,601,98495.72,40014.76
15760861,619,125211.92,113410.49
15630053,656,127864.4,87107.57
15647091,725,75888.2,45613.75
15623944,511,0.0,1643.11
15804771,614,40685.92,46775.28
15651280,742,136857.0,84509.57
15773469,687,152328.88,126494.82
15702014,555,56084.69,178798.13
15751208,684,78707.16,99398.36
15592461,603,109166.37,92840.67
15789484,751,169831.46,27758.36
15696061,581,101633.04,110431.51
15641582,735,123180.01,196673.28
15638424,661,150725.53,113656.85
15755648,675,98373.26,18203.0
15703793,738,133745.44,28373.86
15620344,813,0.0,33953.87
15812518,657,163607.18,44203.55
15779052,604,157780.84,58426.81
15770811,519,0.0,145562.4
15780961,735,178718.19,22388.0
15614049,664,0.0,139161.64
15662085,678,0.0,148210.64
15575185,757,77253.22,194239.63
15803136,416,122189.66,98301.61
15706021,665,96645.54,171413.66
15663706,777,0.0,136458.19
15641732,543,0.0,26019.59
15701164,506,90307.62,159235.29
15738751,493,0.0,1907.66
15805254,652,0.0,114675.75
15762418,750,121681.82,128643.35
15625759,729,0.0,151869.35
15622897,646,0.0,93251.42
15767954,635,81623.67,156791.36
15757535,647,0.0,174205.22
15731511,808,118626.55,147132.46
15809248,524,0.0,109614.57
15640635,769,0.0,172290.61
