customerid,exited
15634602,1
15647311,0
15619304,1
15701354,0
15737888,0
15574012,1
15592531,0
15656148,1
15792365,0
15592389,0
15767821,0
15737173,0
15632264,0
15691483,0
15600882,0
15643966,0
15737452,1
15788218,0
15661507,0
15568982,0
15577657,0
15597945,0
15699309,1
15725737,0
15625047,0
15738191,0
15736816,0
15700772,0
15728693,0
15656300,0
15589475,1
15706552,0
15750181,0
15659428,0
15732963,0
15794171,1
15788448,0
15729599,0
15717426,0
15585768,0
15619360,0
15738148,1
15687946,0
15755196,1
15684171,0
15754849,0
15602280,1
15771573,1
15766205,0
15771873,0
15616550,0
15768193,0
15683553,0
15702298,1
15569590,1
15760861,0
15630053,0
15647091,0
15623944,1
15804771,0
15651280,0
15773469,0
15702014,0
15751208,0
15592461,0
15789484,0
15696061,0
15641582,0
15638424,0
15755648,0
15703793,1
15620344,0
15812518,0
15779052,0
15770811,0
15780961,0
15614049,0
15662085,0
15575185,0
15803136,0
15706021,0
15663706,1
15641732,0
15701164,0
15738751,0
15805254,0
15762418,1
15625759,0
15622897,1
15767954,0
15757535,1
15731511,0
15809248,0
15640635,0
15676966,0
15699461,0
15738721,0
15693683,0
15604348,0
15633059,0
15808582,0
15743192,0
15580146,0
15776605,0
15804919,1
15613854,1
15599195,0
15812878,0
15602312,0
15744689,1
15803526,0
15665790,0
15715951,0
15591100,0
15609618,1
15675522,0
15705512,0
15698028,0
15661670,1
15600781,0
15682472,0
15580203,0
15690673,0
15760085,0
15779659,0
15627360,1
15671137,1
15782688,1
15575492,0
15591607,0
15740404,0
15718369,0
15677871,0
15642004,0
15712543,0
15584518,0
15802381,0
15610156,0
15594408,1
15640905,1
15698932,0
15724944,0
15628145,0
15713483,1
15612350,1
15800703,0
15705707,0
15754105,0
15703264,0
15794413,0
15650237,0
15759618,1
15811589,0
15689044,0
15709368,0
15679145,1
15655007,0
15623595,0
15589975,0
15804017,0
15692132,0
15641122,0
15630910,0
15680772,0
15658929,1
15585388,0
15724623,1
15588537,0
15574692,1
15611325,0
15587562,0
15613172,0
15651022,1
15586310,0
15625524,0
15755209,0
15645248,0
15790355,0
15762615,0
15625426,1
15716334,0
15789669,0
15621075,0
15810845,0
15719377,1
15654506,0
15771977,0
15708710,0
15726676,0
15587421,0
15726931,1
15771086,0
15756850,0
15702741,0
15679200,0
15594815,0
15635905,0
15777892,0
15656176,0
15811127,0
15604482,0
15622911,0
15600974,1
15727868,1
15627801,0
15773039,0
15755262,1
15679531,0
15684181,1
15612087,0
15752047,0
15624592,0
15573152,0
15594917,0
15785542,0
15723488,1
15680920,0
15786308,0
15659366,1
15774854,1
15725311,0
15787155,0
15727829,0
15733247,1
15568748,1
15699029,0
15774393,0
15676895,1
15637753,1
15605461,0
15808473,0
15627000,0
15787174,0
15723886,0
15704769,0
15772896,1
15711540,0
15764866,1
15794056,1
15795149,0
15812009,0
15651001,0
15813844,0
15596175,1
15576269,0
15797219,1
15685500,0
15599792,0
15657566,0
15772423,1
15628112,0
15753754,0
15793726,0
15694717,0
15665834,0
15765297,0
15636684,0
15592979,0
15750803,0
15607178,0
15713853,0
15673481,0
15686776,0
15673693,0
15700696,0
15813163,0
15653857,0
15777076,0
15717398,1
15799217,0
15787071,0
15619955,1
15796505,0
15725166,0
15800116,0
15758685,0
15694456,1
15767339,0
15683562,0
15782210,1
15668893,0
15669169,0
15643024,1
15699389,0
15708608,0
15626144,0
15573112,0
15790678,0
15727556,0
15697307,0
15652266,0
15607098,0
15655774,0
15590241,1
15785819,0
15723654,0
15774510,0
15684173,1
15650068,0
15811490,0
15803976,0
15682541,0
15695699,0
15624188,0
15812191,0
15636673,0
15594898,1
15660211,0
15773972,1
15746726,0
15712287,0
15702919,0
15674398,0
15797960,0
15631868,0
15581539,0
15662736,1
15666252,0
15677512,0
15626114,0
15810834,0
15678910,0
15694408,1
15585215,0
15682757,0
15736601,0
15601848,0
15736008,1
15669064,0
15624528,0
15598493,0
15601274,0
15702669,0
15728669,1
15742668,0
15697441,1
15740476,0
15648064,0
15636624,1
15807923,1
15745844,1
15786170,0
15681081,0
15684484,0
15785869,0
15763859,0
15658935,0
15747358,0
15735203,0
15576256,0
15659420,0
15593365,0
15777352,0
15812007,0
15625461,0
15739438,0
15611759,0
15661629,1
15633950,0
15592386,0
15803716,0
15696674,1
15706365,0
15745088,0
15676715,0
15613085,0
15633537,0
15594720,0
15684042,0
15583303,0
15611579,0
15774696,0
15694506,0
15688074,0
15759537,0
15758449,0
15583456,1
15667871,0
15677371,0
15629677,1
15713578,0
15591509,0
15568240,0
15622993,0
15689294,0
15720910,0
15721181,0
15776433,0
15748936,0
15717225,0
15685226,0
15785611,0
15573456,1
15684548,1
15620505,0
15807432,0
15584766,0
15612187,0
15762218,0
15646372,1
15690452,0
15747795,0
15781589,0
15732674,0
15642291,0
15692761,0
15578045,1
15745354,0
15701376,0
15691625,0
15566594,0
15760431,0
15686302,0
15801559,1
15810432,0
15809616,0
15720559,1
15695632,0
15659843,0
15615624,0
15810418,1
15716186,0
15674551,1
15622834,0
15566111,0
15784597,0
15652883,0
15806964,0
15576313,0
15806467,1
15597602,1
15743040,0
15705521,0
15595039,1
15799384,0
15581197,0
15693737,0
15624623,0
15783501,0
15690134,0
15782735,0
15611088,0
15672145,0
15732628,0
15787470,1
15803406,0
15730460,0
15644572,0
15694860,1
15658169,0
15794396,0
15785798,0
15710825,0
15668444,0
15726631,0
15733797,0
15747960,0
15634632,0
15707362,1
15662976,0
15732778,0
15718443,0
15670039,0
15773792,1
15613786,0
15726032,0
15663252,0
15593782,1
15633283,0
15749167,0
15759298,0
15683625,1
15635367,0
15681705,0
15603156,0
15591986,1
15798888,0
15809722,0
15677538,0
15797736,0
15695585,0
15744398,0
15750658,0
15578186,0
15676519,1
15637954,0
15758639,0
15613772,1
15731744,0
15807709,0
15714689,0
15699005,0
15624170,0
15725679,1
15585865,1
15804256,0
15662403,0
15733616,0
15591995,0
15677020,1
15727688,0
15715941,0
15714485,1
15730059,0
15715527,0
15576623,0
15805565,0
15677307,0
15773890,0
15598883,0
15568506,0
15761043,0
15782236,0
15593601,0
15682048,1
15746902,0
15752081,1
15781307,0
15775912,1
15745417,0
15671256,1
15653547,0
15595766,0
15742358,0
15763274,0
15786063,0
15600258,0
15573318,0
15653849,1
15694272,0
15736112,0
15749851,0
15663478,0
15592300,0
15567832,0
15776780,1
15592846,0
15739803,0
15794142,1
15762729,1
15667896,0
15626578,0
15776223,0
15705953,1
15802593,1
15615457,0
15708916,0
15720187,0
15595440,0
15600651,0
15750141,0
15657284,1
15763063,0
15709324,0
15711309,0
15775318,1
15705515,0
15634844,1
15717046,0
15571816,0
15670080,0
15800440,0
15665678,0
15665956,1
15788126,0
15811773,0
15651674,1
15689614,0
15795564,0
15706647,0
15728505,0
15730076,1
15622003,0
15607312,1
15644753,0
15653620,0
15761986,0
15633922,0
15734674,0
15658032,0
15692671,0
15737741,1
15576352,0
15753719,0
15803689,1
15718057,1
15722010,1
15680998,0
15614782,0
15591047,1
15788291,1
15604044,0
15679587,0
15775153,0
15603925,0
15680970,0
15697183,0
15567446,0
15637476,1
15714939,0
15683503,1
15645569,0
15782569,0
15592387,1
15609286,0
15814035,0
15661249,0
15629117,0
15607170,0
15586585,0
15686611,0
15603203,0
15619857,0
15805062,0
15660271,0
15745295,1
15719352,0
15766575,1
15594594,0
15646161,0
15682585,0
15603134,0
15636444,0
15773456,0
15745307,0
15604119,0
15626900,0
15605447,0
15589030,0
15692463,0
15712403,1
15811762,1
15718673,0
15724282,0
15738181,1
15633648,0
15603323,0
15583725,0
15588350,0
15798398,0
15784844,1
15580684,0
15809663,0
15640078,1
15698786,1
15569807,1
15730830,0
15805112,0
15633064,0
15703119,0
15730447,0
15813850,0
15711889,0
15664610,1
15751710,0
15692926,0
15813741,0
15698474,0
15568595,0
15603065,0
15592937,0
15699637,0
15667215,0
15788659,0
15763218,0
15645772,0
15725511,0
15575024,0
15640825,0
15662397,0
15576368,0
15674991,0
15721024,0
15745621,0
15642394,0
15754605,0
15607040,0
15715142,1
15810978,0
15668886,0
15780804,0
15613880,0
15775238,0
15786905,0
15747867,0
15600337,1
15801277,0
15579334,1
15802741,1
15720649,0
15589493,0
15688251,0
15665238,0
15740900,0
15681068,0
15748625,0
15727299,1
15620204,1
15669516,0
15736534,0
15803457,0
15659098,0
15603436,0
15566292,0
15808621,0
15580148,1
15776231,0
15773809,0
15649423,0
15734886,0
15722548,0
15650288,0
15629448,0
15716164,0
15807609,1
15578977,0
15677369,0
15804072,0
15696859,0
15653780,0
15721658,1
15578761,1
15736879,0
15571973,0
15626742,0
15672692,0
15673570,0
15767432,0
15654238,0
15612525,1
15812750,0
15790757,0
15723873,0
15744607,1
15612966,1
15784209,0
15794278,0
15766741,0
15661036,0
15705639,0
15637414,0
15716835,0
15696231,0
15641675,1
